Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
CNAUF,CANADIAN UTIL 2ND PFD Y,Pink Current,13.772500,,0,Preferred Stock,Canada,Alberta
CNBB,CNB COMMUNITY BNCP INC,OTCQX U.S. Premier,35.000000,,257,Common Stock,USA,Michigan
CNBL,CITZNS NATL BNCSHS BOSSIE,Pink Current,26.000000,,0,Common Stock,USA,Louisiana
CNBN,CNB BK SHS INC,OTCQX U.S. Premier,16.520000,,0,Common Stock,USA,Illinois
CNBP,CORNERSTONE BANCORP INC,Pink Current,68.050000,,0,Common Stock,USA,Illinois
CNBX,CNBX PHARMACEUTICAL INC,OTCQB,0.013500,4.651200,301550,Common Stock,USA,Maryland
CNBZ,CNB CORP MI,Pink Current,18.000000,,0,Common Stock,USA,Michigan
CNCL,CANCER CAPITAL CORP,Pink Current,0.000000,,0,Common Stock,USA,Utah
CNCT,CHINA TELETECH HLDGS INC,Pink Limited,0.002900,,0,Common Stock,China,
CNDCF,CANADIAN BANC CORP,Pink Current,9.400000,,0,Foreign Ordinary Shares,,
CNDGF,CONDOR GOLD PLC,Pink Current,0.339900,,0,Foreign Ordinary Shares,United Kingdom,
CNDHF,CONDUIT HLDGS LTD,Pink Current,0.000000,,0,Foreign Ordinary Shares,Bermuda,
CNECF,CENTURIA CAP GROUP UNITS,Pink Current,1.030000,,0,Units,,
CNER,CHINA NEW ENERGY GRP CO,Pink Current,0.011000,,0,Common Stock,USA,Washington
CNEWF,CHINA NEW HIGHER ED GRP,Pink Current,0.000000,,0,Foreign Ordinary Shares,China,Hong Kong
CNFN,CFN ENTERPRISES INC,OTCQB,0.193000,1.632400,12398,Common Stock,USA,Montana
CNGA,CONAIR CORPORATION NY,Pink Limited,0.524500,,0,Common Stock,USA,New York
CNGFF,CHANGE FINANCIAL LTD,Pink Current,0.037700,,0,Foreign Ordinary Shares,USA,California
CNGGF,CANN GROUP LTD,Pink Current,0.082600,,0,Foreign Ordinary Shares,Australia,Victoria
CNGI,CONCORDIS GROUP INC,Pink Limited,0.100000,,0,Common Stock,USA,Texas
CNGKY,CHEUNG ASSET HLDG UNS/ADR,Pink Current,10.705000,,90,ADRs,Hong Kong,
CNHC,CHINA HEALTH MGMT CORP,Pink Current,0.004400,,0,Common Stock,Malaysia,
CNHHY,CAIRN HOMES PLC UNSP/ADR,Pink Current,13.950000,,0,ADRs,,
CNICF,CHINA INTL CAP CORP LTD,Pink Current,1.720000,,0,Foreign Ordinary Shares,China,
CNIEF,CENTURIA IND REIT ORD UTS,Pink Current,0.000000,,0,Foreign Ordinary Shares,,
CNIKF,CANADA NICKEL CO INC,OTCQX International,0.863000,-4.966400,11186,Foreign Ordinary Shares,Canada,Ontario
CNINF,CHINA INTL MARINE CONTR H,Pink Current,0.000000,,0,Foreign Ordinary Shares,China,
CNIVF,DING YI FENG HLDGS GROUP,Pink Current,0.445000,,0,Foreign Ordinary Shares,,
CNLFF,CANLAN ICE SPORTS CRP ORD,Pink Current,2.972750,,0,Foreign Ordinary Shares,Canada,British Columbia
CNLHN,CONN LT & PWR 3.90 PR,Pink Current,35.010000,,0,Preferred Stock,USA,Connecticut
CNLHO,CONN LT & PWR 4.50 PR,Pink Current,38.750000,,0,Preferred Stock,USA,Connecticut
CNLHP,CONN LT & PWR 4.50 PR(63),Pink Current,37.500000,,0,Preferred Stock,USA,Connecticut
CNLLF,CENTRAL CHINA R E LTD ORD,Pink Current,0.020000,,0,Foreign Ordinary Shares,,
CNLMF,COLLECTIVE MNG LTD,OTCQX International,4.472000,0.759300,365,Foreign Ordinary Shares,Canada,Ontario
CNLPL,CONN LT & PWR 3.24 G PR,Pink Current,54.250000,,5,Preferred Stock,USA,Connecticut
CNLPM,CONN LT & PWR 2.06 PR,Pink Current,35.000000,,0,Preferred Stock,USA,Connecticut
CNLTL,CONN LT & PWR 1.90 PR,Pink Current,36.000100,,0,Preferred Stock,USA,Connecticut
CNLTN,CONN LT & PWR 2 PR,Pink Current,35.260000,,0,Preferred Stock,USA,Connecticut
CNLTP,CONN LT & PWR 2.20 PR,Pink Current,38.000000,,0,Preferred Stock,USA,Connecticut
CNMMY,CHINA MERCHANTS SECS ADR,Pink Current,0.000000,,0,ADRs,,
CNMTF,CANADIAN METALS INC NEW,Pink Current,0.021700,,0,Foreign Ordinary Shares,Canada,Quebec
CNMVF,CANOE MINING VENTURES,Pink Current,0.058500,,0,Foreign Ordinary Shares,Canada,Ontario
CNNB,CINCINNATI BANCORP INC,OTCQX U.S.,14.380000,3.602300,100,Common Stock,USA,Ohio
CNNC,CANNONAU CORP,Pink Current,0.015000,,20,Common Stock,USA,New York
CNNEF,CANACOL ENERGY LTD,OTCQX International,8.050000,,0,Foreign Ordinary Shares,Canada,Alberta
CNNIF,CENTRALNIC GROUP PLC,Pink Current,1.610000,,0,Foreign Ordinary Shares,United Kingdom,England
CNNN,CONNEXIONONE CORP,Pink Current,0.030000,,7,Common Stock,USA,California
CNNRF,CANADIAN NET R E INVT UTS,Pink Current,3.800000,,0,Units,,
CNOBF,HEMLO EXPLORERS INC,Pink Current,0.060000,,0,Foreign Ordinary Shares,Canada,Ontario
CNPOF,RIV CAP INC,Pink Current,0.095200,-3.055000,35485,Foreign Ordinary Shares,Canada,Ontario
CNPPF,CHINA OVERSEAS PPTY ORD,Pink Current,1.110000,,0,Foreign Ordinary Shares,,
